TYPE,LATITUDE,LONGITUDE
INJURY,52.10269,-106.57258
INJURY,52.14623,-106.57508
INJURY,52.13337,-106.69089
INJURY,52.08556,-106.62264
INJURY,52.11478,-106.62608
INJURY,52.13661,-106.64735
INJURY,52.18604,-106.63902
INJURY,52.15022,-106.61318
INJURY,52.15542,-106.56581
INJURY,52.15834,-106.66336
INJURY,52.11471,-106.60442
INJURY,52.1157,-106.64649
INJURY,52.1261,-106.67016
INJURY,52.12928,-106.70581
INJURY,52.11998,-106.69031
INJURY,52.12592,-106.66704
INJURY,52.19978,-106.64888
INJURY,52.14387,-106.70222
INJURY,52.159,-106.67186
INJURY,52.1946,-106.67091
INJURY,52.12227,-106.73374
INJURY,52.11478,-106.62269
INJURY,52.12957,-106.73932
INJURY,52.12926,-106.67821
INJURY,52.19636,-106.64654
INJURY,52.1549,-106.68286
INJURY,52.15787,-106.67071
INJURY,52.15103,-106.59889
INJURY,52.09226,-106.67041
INJURY,52.13615,-106.5994
INJURY,52.13145,-106.6004
INJURY,52.1672,-106.61236
INJURY,52.12874,-106.74617
INJURY,52.13029,-106.55206
INJURY,52.10025,-106.62269
INJURY,52.15787,-106.67071
INJURY,52.10473,-106.60448
INJURY,52.15787,-106.67319
INJURY,52.09899,-106.56779
INJURY,52.12926,-106.67022
INJURY,52.08934,-106.62267
INJURY,52.12528,-106.66852
INJURY,52.13097,-106.68834
INJURY,52.1276,-106.66763
INJURY,52.11676,-106.6309
INJURY,52.17144,-106.55775
INJURY,52.13544,-106.7249
INJURY,52.13651,-106.72612
INJURY,52.13658,-106.60399
INJURY,52.1537,-106.63475
INJURY,52.10506,-106.60964
INJURY,52.14368,-106.6581
INJURY,52.15801,-106.65043
INJURY,52.12928,-106.70581
INJURY,52.14386,-106.67762
INJURY,52.13476,-106.57429
INJURY,52.12885,-106.6436
INJURY,52.12893,-106.62835
INJURY,52.13238,-106.66579
INJURY,52.14386,-106.7217
INJURY,52.12928,-106.70581
INJURY,52.13183,-106.66979
INJURY,52.12962,-106.69472
INJURY,52.13378,-106.66326
INJURY,52.10019,-106.56121
INJURY,52.13349,-106.73005
INJURY,52.09033,-106.64659
INJURY,52.17024,-106.55595
INJURY,52.14624,-106.56562
INJURY,52.1323,-106.7457
INJURY,52.14053,-106.55958
INJURY,52.13582,-106.55276
INJURY,52.09132,-106.57307
INJURY,52.14386,-106.71783
INJURY,52.11314,-106.62269
INJURY,52.10822,-106.62116
INJURY,52.14968,-106.61525
INJURY,52.14705,-106.65431
INJURY,52.13128,-106.6589
INJURY,52.12888,-106.63891
INJURY,52.14239,-106.74451
INJURY,52.16016,-106.6448
INJURY,52.14316,-106.65709
INJURY,52.11314,-106.62269
INJURY,52.1874,-106.6465
INJURY,52.12935,-106.60772
INJURY,52.13222,-106.664
INJURY,52.12926,-106.6681
INJURY,52.14387,-106.70222
INJURY,52.11476,-106.71818
INJURY,52.1157,-106.66226
INJURY,52.13457,-106.6714
INJURY,52.08341,-106.63815
INJURY,52.12849,-106.60183
INJURY,52.13708,-106.6873
INJURY,52.17305,-106.64071
INJURY,52.12849,-106.60183
INJURY,52.11478,-106.63528
INJURY,52.08781,-106.64797
INJURY,52.12373,-106.66436
INJURY,52.14387,-106.70222
INJURY,52.12925,-106.69408
INJURY,52.15787,-106.67319
INJURY,52.1458,-106.69453
INJURY,52.09099,-106.57145
INJURY,52.14016,-106.67023
INJURY,52.12186,-106.60422
INJURY,52.12899,-106.70035
INJURY,52.12399,-106.72209
INJURY,52.13448,-106.66729
INJURY,52.16535,-106.67287
INJURY,52.17305,-106.64071
INJURY,52.16426,-106.56492
INJURY,52.09033,-106.64659
INJURY,52.10819,-106.58698
INJURY,52.12893,-106.62835
INJURY,52.12191,-106.71817
INJURY,52.12919,-106.62273
INJURY,52.12782,-106.72324
INJURY,52.09721,-106.69594
INJURY,52.13085,-106.67025
INJURY,52.13375,-106.72591
INJURY,52.13582,-106.55276
INJURY,52.12938,-106.72143
INJURY,52.17305,-106.64071
INJURY,52.12919,-106.62273
INJURY,52.17298,-106.66485
INJURY,52.11478,-106.62608
INJURY,52.08707,-106.56389
INJURY,52.16426,-106.56492
INJURY,52.11408,-106.60698
INJURY,52.14387,-106.66613
INJURY,52.12919,-106.62273
INJURY,52.12854,-106.63674
INJURY,52.11879,-106.66226
INJURY,52.12919,-106.62273
INJURY,52.12955,-106.69207
INJURY,52.13863,-106.59894
INJURY,52.11564,-106.61379
INJURY,52.10731,-106.6485
INJURY,52.13247,-106.72139
INJURY,52.09033,-106.64659
INJURY,52.10732,-106.6465
INJURY,52.08706,-106.62264
INJURY,52.159,-106.67186
INJURY,52.13582,-106.55276
INJURY,52.13609,-106.59895
INJURY,52.12926,-106.67022
INJURY,52.11788,-106.61783
INJURY,52.09033,-106.64659
INJURY,52.0875,-106.65164
INJURY,52.15787,-106.67319
INJURY,52.1508,-106.71783
INJURY,52.11477,-106.64145
INJURY,52.15112,-106.76544
INJURY,52.19243,-106.68906
INJURY,52.12963,-106.69525
INJURY,52.1946,-106.67091
INJURY,52.12619,-106.66093
INJURY,52.1516,-106.67022
INJURY,52.18743,-106.66046
INJURY,52.13326,-106.72456
INJURY,52.12617,-106.68134
INJURY,52.1549,-106.68286
INJURY,52.12754,-106.68051
INJURY,52.1488,-106.66983
INJURY,52.13326,-106.72456
INJURY,52.17298,-106.66485
INJURY,52.09033,-106.64659
INJURY,52.16426,-106.56492
INJURY,52.13663,-106.66183
INJURY,52.11471,-106.60442
INJURY,52.10039,-106.58203
INJURY,52.1333,-106.67018
INJURY,52.11467,-106.64648
INJURY,52.10269,-106.57258
INJURY,52.10473,-106.60448
INJURY,52.12138,-106.66316
INJURY,52.14332,-106.58126
INJURY,52.09132,-106.57307
INJURY,52.1268,-106.63466
INJURY,52.15017,-106.61898
INJURY,52.11473,-106.57506
INJURY,52.13661,-106.56041
INJURY,52.14387,-106.69897
INJURY,52.13724,-106.5656
INJURY,52.11478,-106.62608
INJURY,52.14622,-106.57002
INJURY,52.19385,-106.6304
INJURY,52.14085,-106.56799
INJURY,52.08554,-106.67038
